,np1,np2,np_sum,real_sum,now_prc,prf1,prf2,prf,time
1,0.0,0.0,0.0,0.0,53567.9,0.0,0.0,0.0,142623
2,0.0,0.0,0.0,0.0,53590.4,0.0,0.0,0.0,142625
3,0.0,0.0,0.0,0.0,53585.4,0.0,0.0,0.0,142626
4,0.0,0.0,0.0,0.0,53554.4,0.0,0.0,0.0,142626
5,0.0,0.0,0.0,0.0,53546.5,0.0,0.0,0.0,142627
6,0.0,0.0,0.0,0.0,53550.9,0.0,0.0,0.0,142628
7,0.0,0.0,0.0,0.0,53530.5,0.0,0.0,0.0,142628
8,0.0,0.0,0.0,0.0,53549.6,0.0,0.0,0.0,142629
9,0.0,0.0,0.0,0.0,53570.4,0.0,0.0,0.0,142629
10,0.0,0.0,0.0,0.0,53573.9,0.0,0.0,0.0,142630
11,0.0,0.0,0.0,0.0,53575.4,0.0,0.0,0.0,142631
12,0.0,0.0,0.0,0.0,53585.4,0.0,0.0,0.0,142632
13,0.0,0.0,0.0,0.0,53515.3,0.0,0.0,0.0,142632
14,0.0,0.0,0.0,0.0,53515.9,0.0,0.0,0.0,142633
15,0.0,0.0,0.0,0.0,53515.4,0.0,0.0,0.0,142634
16,0.0,0.0,0.0,0.0,53505.8,0.0,0.0,0.0,142634
17,0.0,0.0,0.0,0.0,53489.5,0.0,0.0,0.0,142635
18,0.0,0.0,0.0,0.0,53483.4,0.0,0.0,0.0,142636
19,0.0,0.0,0.0,0.0,53481.6,0.0,0.0,0.0,142637
20,0.0,0.0,0.0,0.0,53460.0,0.0,0.0,0.0,142637
21,0.0,0.0,0.0,0.0,53456.7,0.0,0.0,0.0,142638
22,0.0,0.0,0.0,0.0,53465.4,0.0,0.0,0.0,142638
23,0.0,0.0,0.0,0.0,53470.3,0.0,0.0,0.0,142639
24,0.0,0.0,0.0,0.0,53505.8,0.0,0.0,0.0,142640
25,0.0,0.0,0.0,0.0,53535.3,0.0,0.0,0.0,142641
26,0.0,0.0,0.0,0.0,53530.4,0.0,0.0,0.0,142641
27,0.0,0.0,0.0,0.0,53550.4,0.0,0.0,0.0,142642
28,0.0,0.0,0.0,0.0,53545.4,0.0,0.0,0.0,142643
29,0.0,0.0,0.0,0.0,53555.8,0.0,0.0,0.0,142643
30,0.0,0.0,0.0,0.0,53520.8,0.0,0.0,0.0,142644
31,0.0,0.0,0.0,0.0,53515.6,0.0,0.0,0.0,142644
32,0.0,0.0,0.0,0.0,53535.4,0.0,0.0,0.0,142645
33,0.0,0.0,0.0,0.0,53557.8,0.0,0.0,0.0,142646
34,0.0,0.0,0.0,0.0,53525.5,0.0,0.0,0.0,142646
35,0.0,0.0,0.0,0.0,53530.2,0.0,0.0,0.0,142647
36,0.0,0.0,0.0,0.0,53535.4,0.0,0.0,0.0,142648
37,0.0,0.0,0.0,0.0,53550.3,0.0,0.0,0.0,142649
38,0.0,0.0,0.0,0.0,53523.0,0.0,0.0,0.0,142650
39,0.0,0.0,0.0,0.0,53523.9,0.0,0.0,0.0,142650
40,0.0,0.0,0.0,0.0,53518.2,0.0,0.0,0.0,142651
41,0.0,0.0,0.0,0.0,53501.1,0.0,0.0,0.0,142652
42,0.0,0.0,0.0,0.0,53485.4,0.0,0.0,0.0,142652
43,0.0,0.0,0.0,0.0,53485.9,0.0,0.0,0.0,142653
44,0.0,0.0,0.0,0.0,53482.0,0.0,0.0,0.0,142654
45,0.0,0.0,0.0,0.0,53480.3,0.0,0.0,0.0,142655
46,0.0,0.0,0.0,0.0,53482.2,0.0,0.0,0.0,142656
47,0.0,0.0,0.0,0.0,53465.4,0.0,0.0,0.0,142657
48,0.0,0.0,0.0,0.0,53475.3,0.0,0.0,0.0,142658
49,0.0,0.0,0.0,0.0,53495.3,0.0,0.0,0.0,142658
50,0.0,0.0,0.0,0.0,53493.1,0.0,0.0,0.0,142659
51,0.0,0.0,0.0,0.0,53475.4,0.0,0.0,0.0,142700
52,0.0,0.0,0.0,0.0,53524.1,0.0,0.0,0.0,142701
53,0.0,0.0,0.0,0.0,53520.5,0.0,0.0,0.0,142702
54,0.0,0.0,0.0,0.0,53500.4,0.0,0.0,0.0,142702
55,0.0,0.0,0.0,0.0,53500.4,0.0,0.0,0.0,142703
56,0.0,0.0,0.0,0.0,53500.4,0.0,0.0,0.0,142704
57,0.0,0.0,0.0,0.0,53494.3,0.0,0.0,0.0,142704
58,0.0,0.0,0.0,0.0,53510.3,0.0,0.0,0.0,142705
59,0.0,0.0,0.0,0.0,53550.1,0.0,0.0,0.0,142706
60,0.0,0.0,0.0,0.0,53545.6,0.0,0.0,0.0,142706
61,0.0,0.0,0.0,0.0,53536.0,0.0,0.0,0.0,142707
62,0.0,0.0,0.0,0.0,53500.4,0.0,0.0,0.0,142708
63,0.0,0.0,0.0,0.0,53487.2,0.0,0.0,0.0,142708
64,0.0,0.0,0.0,0.0,53473.4,0.0,0.0,0.0,142709
65,0.0,0.0,0.0,0.0,53473.4,0.0,0.0,0.0,142710
66,0.0,0.0,0.0,0.0,53454.1,0.0,0.0,0.0,142710
67,0.0,0.0,0.0,0.0,53477.1,0.0,0.0,0.0,142711
68,0.0,0.0,0.0,0.0,53516.1,0.0,0.0,0.0,142711
69,0.0,0.0,0.0,0.0,53520.4,0.0,0.0,0.0,142712
70,0.0,0.0,0.0,0.0,53516.1,0.0,0.0,0.0,142713
71,0.0,0.0,0.0,0.0,53539.1,0.0,0.0,0.0,142714
72,0.0,0.0,0.0,0.0,53520.9,0.0,0.0,0.0,142714
73,0.0,0.0,0.0,0.0,53505.9,0.0,0.0,0.0,142716
74,0.0,0.0,0.0,0.0,53549.9,0.0,0.0,0.0,142716
75,0.0,0.0,0.0,0.0,53562.0,0.0,0.0,0.0,142717
76,0.0,0.0,0.0,0.0,53560.3,0.0,0.0,0.0,142717
77,0.0,0.0,0.0,0.0,53567.3,0.0,0.0,0.0,142719
78,0.0,0.0,0.0,0.0,53590.3,0.0,0.0,0.0,142719
79,0.0,0.0,0.0,0.0,53589.5,0.0,0.0,0.0,142720
80,0.0,0.0,0.0,0.0,53585.4,0.0,0.0,0.0,142721
81,0.0,0.0,0.0,0.0,53580.5,0.0,0.0,0.0,142722
82,0.0,0.0,0.0,0.0,53528.4,0.0,0.0,0.0,142722
83,0.0,0.0,0.0,0.0,53576.2,0.0,0.0,0.0,142723
84,0.0,0.0,0.0,0.0,53580.2,0.0,0.0,0.0,142724
85,0.0,0.0,0.0,0.0,53575.3,0.0,0.0,0.0,142725
86,0.0,0.0,0.0,0.0,53550.4,0.0,0.0,0.0,142725
87,0.0,0.0,0.0,0.0,53542.9,0.0,0.0,0.0,142726
88,0.0,0.0,0.0,0.0,53545.4,0.0,0.0,0.0,142727
89,0.0,0.0,0.0,0.0,53547.5,0.0,0.0,0.0,142728
90,0.0,0.0,0.0,0.0,53570.0,0.0,0.0,0.0,142728
91,0.0,0.0,0.0,0.0,53575.4,0.0,0.0,0.0,142730
92,0.0,0.0,0.0,0.0,53580.4,0.0,0.0,0.0,142731
