,np1,np2,np_sum,real_sum,now_prc,prf1,prf2,prf,time
1,0.0,0.0,0.0,0.0,54094.7,0.0,0.0,0.0,234049
2,0.0,0.0,0.0,0.0,54100.2,0.0,0.0,0.0,234052
3,0.0,0.0,0.0,0.0,54137.9,0.0,0.0,0.0,234052
4,0.0,0.0,0.0,0.0,54133.1,0.0,0.0,0.0,234053
5,0.0,0.0,0.0,0.0,54127.9,0.0,0.0,0.0,234054
6,0.0,0.0,0.0,0.0,54137.7,0.0,0.0,0.0,234055
7,0.0,0.0,0.0,0.0,54143.8,0.0,0.0,0.0,234055
8,0.0,0.0,0.0,0.0,54064.0,0.0,0.0,0.0,234056
9,0.0,0.0,0.0,0.0,54019.6,0.0,0.0,0.0,234057
10,0.0,0.0,0.0,0.0,54028.0,0.0,0.0,0.0,234058
11,0.0,0.0,0.0,0.0,54086.3,0.0,0.0,0.0,234058
12,0.0,0.0,0.0,0.0,54086.1,0.0,0.0,0.0,234059
13,0.0,0.0,0.0,0.0,54065.7,0.0,0.0,0.0,234100
14,0.0,0.0,0.0,0.0,54064.1,0.0,0.0,0.0,234101
15,0.0,0.0,0.0,0.0,54059.4,0.0,0.0,0.0,234102
16,0.0,0.0,0.0,0.0,54115.6,0.0,0.0,0.0,234102
17,0.0,0.0,0.0,0.0,54095.4,0.0,0.0,0.0,234103
18,0.0,0.0,0.0,0.0,54091.6,0.0,0.0,0.0,234104
19,0.0,0.0,0.0,0.0,54083.0,0.0,0.0,0.0,234104
20,0.0,0.0,0.0,0.0,54091.0,0.0,0.0,0.0,234105
21,0.0,0.0,0.0,0.0,54070.0,0.0,0.0,0.0,234105
22,0.0,0.0,0.0,0.0,54072.1,0.0,0.0,0.0,234106
23,0.0,0.0,0.0,0.0,54057.0,0.0,0.0,0.0,234107
24,0.0,0.0,0.0,0.0,54048.5,0.0,0.0,0.0,234107
25,0.0,0.0,0.0,0.0,54038.2,0.0,0.0,0.0,234108
26,0.0,0.0,0.0,0.0,54020.4,0.0,0.0,0.0,234108
27,0.0,0.0,0.0,0.0,54020.3,0.0,0.0,0.0,234110
28,0.0,0.0,0.0,0.0,54013.9,0.0,0.0,0.0,234110
29,0.0,0.0,0.0,0.0,54009.9,0.0,0.0,0.0,234111
30,0.0,0.0,0.0,0.0,54052.7,0.0,0.0,0.0,234112
31,0.0,0.0,0.0,0.0,54052.7,0.0,0.0,0.0,234112
32,0.0,0.0,0.0,0.0,54051.3,0.0,0.0,0.0,234113
33,0.0,0.0,0.0,0.0,54059.2,0.0,0.0,0.0,234113
34,0.0,0.0,0.0,0.0,54073.2,0.0,0.0,0.0,234114
35,0.0,0.0,0.0,0.0,54069.9,0.0,0.0,0.0,234115
36,0.0,0.0,0.0,0.0,54069.9,0.0,0.0,0.0,234115
37,0.0,0.0,0.0,0.0,54036.1,0.0,0.0,0.0,234116
38,0.0,0.0,0.0,0.0,54007.4,0.0,0.0,0.0,234117
39,0.0,0.0,0.0,0.0,54024.0,0.0,0.0,0.0,234117
40,0.0,0.0,0.0,0.0,54015.9,0.0,0.0,0.0,234119
41,0.0,0.0,0.0,0.0,54044.0,0.0,0.0,0.0,234120
42,0.0,0.0,0.0,0.0,53999.3,0.0,0.0,0.0,234120
43,0.0,0.0,0.0,0.0,54040.3,0.0,0.0,0.0,234121
44,0.0,0.0,0.0,0.0,54064.2,0.0,0.0,0.0,234122
45,0.0,0.0,0.0,0.0,54087.1,0.0,0.0,0.0,234123
46,0.0,0.0,0.0,0.0,54093.8,0.0,0.0,0.0,234123
47,0.0,0.0,0.0,0.0,54102.5,0.0,0.0,0.0,234124
48,0.0,0.0,0.0,0.0,54096.0,0.0,0.0,0.0,234125
49,0.0,0.0,0.0,0.0,54131.9,0.0,0.0,0.0,234125
50,0.0,0.0,0.0,0.0,54136.1,0.0,0.0,0.0,234126
51,0.0,0.0,0.0,0.0,54082.4,0.0,0.0,0.0,234127
52,0.0,0.0,0.0,0.0,54085.1,0.0,0.0,0.0,234128
53,0.0,0.0,0.0,0.0,54098.1,0.0,0.0,0.0,234129
54,0.0,0.0,0.0,0.0,54100.3,0.0,0.0,0.0,234129
55,0.0,0.0,0.0,0.0,54098.1,0.0,0.0,0.0,234130
56,0.0,0.0,0.0,0.0,54091.7,0.0,0.0,0.0,234131
57,0.0,0.0,0.0,0.0,54089.5,0.0,0.0,0.0,234132
58,0.0,0.0,0.0,0.0,54086.0,0.0,0.0,0.0,234132
59,0.0,0.0,0.0,0.0,54078.6,0.0,0.0,0.0,234133
60,0.0,0.0,0.0,0.0,54057.0,0.0,0.0,0.0,234134
61,0.0,0.0,0.0,0.0,54072.1,0.0,0.0,0.0,234135
62,0.0,0.0,0.0,0.0,54074.3,0.0,0.0,0.0,234136
63,0.0,0.0,0.0,0.0,54059.0,0.0,0.0,0.0,234137
64,0.0,0.0,0.0,0.0,54054.8,0.0,0.0,0.0,234138
65,0.0,0.0,0.0,0.0,54044.0,0.0,0.0,0.0,234138
66,0.0,0.0,0.0,0.0,54020.3,0.0,0.0,0.0,234139
67,0.0,0.0,0.0,0.0,54033.0,0.0,0.0,0.0,234140
68,0.0,0.0,0.0,0.0,54028.9,0.0,0.0,0.0,234141
69,0.0,0.0,0.0,0.0,54018.1,0.0,0.0,0.0,234141
70,0.0,0.0,0.0,0.0,54009.6,0.0,0.0,0.0,234142
71,0.0,0.0,0.0,0.0,54009.5,0.0,0.0,0.0,234143
72,0.0,0.0,0.0,0.0,54007.2,0.0,0.0,0.0,234143
73,0.0,0.0,0.0,0.0,54013.8,0.0,0.0,0.0,234144
74,0.0,0.0,0.0,0.0,54083.2,0.0,0.0,0.0,234144
75,0.0,0.0,0.0,0.0,54083.2,0.0,0.0,0.0,234145
76,0.0,0.0,0.0,0.0,54083.2,0.0,0.0,0.0,234146
77,0.0,0.0,0.0,0.0,54037.8,0.0,0.0,0.0,234147
78,0.0,0.0,0.0,0.0,54074.9,0.0,0.0,0.0,234147
79,0.0,0.0,0.0,0.0,54074.4,0.0,0.0,0.0,234148
80,0.0,0.0,0.0,0.0,54063.9,0.0,0.0,0.0,234149
81,0.0,0.0,0.0,0.0,54076.5,0.0,0.0,0.0,234150
82,0.0,0.0,0.0,0.0,54085.1,0.0,0.0,0.0,234150
83,0.0,0.0,0.0,0.0,54089.4,0.0,0.0,0.0,234151
84,0.0,0.0,0.0,0.0,54082.1,0.0,0.0,0.0,234152
85,0.0,0.0,0.0,0.0,54079.7,0.0,0.0,0.0,234153
86,0.0,0.0,0.0,0.0,54062.2,0.0,0.0,0.0,234153
87,0.0,0.0,0.0,0.0,54056.0,0.0,0.0,0.0,234154
88,0.0,0.0,0.0,0.0,54052.0,0.0,0.0,0.0,234156
89,0.0,0.0,0.0,0.0,54048.0,0.0,0.0,0.0,234156
90,0.0,0.0,0.0,0.0,54066.1,0.0,0.0,0.0,234157
91,0.0,0.0,0.0,0.0,54058.1,0.0,0.0,0.0,234158
92,0.0,0.0,0.0,0.0,54023.5,0.0,0.0,0.0,234159
93,0.0,0.0,0.0,0.0,54013.9,0.0,0.0,0.0,234159
94,0.0,0.0,0.0,0.0,54014.1,0.0,0.0,0.0,234200
95,0.0,0.0,0.0,0.0,54012.1,0.0,0.0,0.0,234201
96,0.0,0.0,0.0,0.0,54008.1,0.0,0.0,0.0,234201
97,0.0,0.0,0.0,0.0,54050.0,0.0,0.0,0.0,234202
98,0.0,0.0,0.0,0.0,54067.8,0.0,0.0,0.0,234203
99,0.0,0.0,0.0,0.0,54063.9,0.0,0.0,0.0,234203
100,0.0,0.0,0.0,0.0,54078.6,0.0,0.0,0.0,234204
101,0.0,0.0,0.0,0.0,54087.3,0.0,0.0,0.0,234205
102,0.0,0.0,0.0,0.0,54099.6,0.0,0.0,0.0,234205
103,0.0,0.0,0.0,0.0,54085.9,0.0,0.0,0.0,234206
104,0.0,0.0,0.0,0.0,54117.6,0.0,0.0,0.0,234207
105,0.0,0.0,0.0,0.0,54095.9,0.0,0.0,0.0,234208
106,0.0,0.0,0.0,0.0,54096.0,0.0,0.0,0.0,234208
107,0.0,0.0,0.0,0.0,54091.6,0.0,0.0,0.0,234209
108,0.0,0.0,0.0,0.0,54067.8,0.0,0.0,0.0,234210
109,0.0,0.0,0.0,0.0,54050.4,0.0,0.0,0.0,234211
110,0.0,0.0,0.0,0.0,54072.1,0.0,0.0,0.0,234212
111,0.0,0.0,0.0,0.0,54074.3,0.0,0.0,0.0,234212
112,0.0,0.0,0.0,0.0,54065.7,0.0,0.0,0.0,234213
113,0.0,0.0,0.0,0.0,54074.3,0.0,0.0,0.0,234213
114,0.0,0.0,0.0,0.0,54082.9,0.0,0.0,0.0,234214
115,0.0,0.0,0.0,0.0,54083.0,0.0,0.0,0.0,234215
116,0.0,0.0,0.0,0.0,54085.1,0.0,0.0,0.0,234216
117,0.0,0.0,0.0,0.0,54093.8,0.0,0.0,0.0,234216
118,0.0,0.0,0.0,0.0,54089.5,0.0,0.0,0.0,234217
119,0.0,0.0,0.0,0.0,54098.1,0.0,0.0,0.0,234218
120,0.0,0.0,0.0,0.0,54099.4,0.0,0.0,0.0,234219
121,0.0,0.0,0.0,0.0,54113.2,0.0,0.0,0.0,234219
122,0.0,0.0,0.0,0.0,54115.4,0.0,0.0,0.0,234220
123,0.0,0.0,0.0,0.0,54117.8,0.0,0.0,0.0,234221
124,0.0,0.0,0.0,0.0,54113.9,0.0,0.0,0.0,234221
125,0.0,0.0,0.0,0.0,54115.4,0.0,0.0,0.0,234222
126,0.0,0.0,0.0,0.0,54117.9,0.0,0.0,0.0,234222
127,0.0,0.0,0.0,0.0,54124.1,0.0,0.0,0.0,234223
128,0.0,0.0,0.0,0.0,54108.9,0.0,0.0,0.0,234224
129,0.0,0.0,0.0,0.0,54106.8,0.0,0.0,0.0,234225
130,0.0,0.0,0.0,0.0,54091.7,0.0,0.0,0.0,234226
131,0.0,0.0,0.0,0.0,54080.8,0.0,0.0,0.0,234226
132,0.0,0.0,0.0,0.0,54076.4,0.0,0.0,0.0,234228
133,0.0,0.0,0.0,0.0,54085.1,0.0,0.0,0.0,234229
134,0.0,0.0,0.0,0.0,54087.3,0.0,0.0,0.0,234229
135,0.0,0.0,0.0,0.0,54076.5,0.0,0.0,0.0,234231
136,0.0,0.0,0.0,0.0,54087.4,0.0,0.0,0.0,234232
137,0.0,0.0,0.0,0.0,54087.3,0.0,0.0,0.0,234232
138,0.0,0.0,0.0,0.0,54095.9,0.0,0.0,0.0,234233
139,0.0,0.0,0.0,0.0,54119.8,0.0,0.0,0.0,234234
140,0.0,0.0,0.0,0.0,54108.9,0.0,0.0,0.0,234235
141,0.0,0.0,0.0,0.0,54106.8,0.0,0.0,0.0,234235
142,0.0,0.0,0.0,0.0,54100.3,0.0,0.0,0.0,234236
143,0.0,0.0,0.0,0.0,54098.1,0.0,0.0,0.0,234237
144,0.0,0.0,0.0,0.0,54081.0,0.0,0.0,0.0,234237
145,0.0,0.0,0.0,0.0,54061.3,0.0,0.0,0.0,234238
146,0.0,0.0,0.0,0.0,54059.2,0.0,0.0,0.0,234240
147,0.0,0.0,0.0,0.0,54075.8,0.0,0.0,0.0,234240
148,0.0,0.0,0.0,0.0,54074.3,0.0,0.0,0.0,234241
149,0.0,0.0,0.0,0.0,54063.5,0.0,0.0,0.0,234242
150,0.0,0.0,0.0,0.0,54061.3,0.0,0.0,0.0,234243
151,0.0,0.0,0.0,0.0,54046.3,0.0,0.0,0.0,234243
152,0.0,0.0,0.0,0.0,54048.4,0.0,0.0,0.0,234244
153,0.0,0.0,0.0,0.0,54057.0,0.0,0.0,0.0,234245
154,0.0,0.0,0.0,0.0,54098.1,0.0,0.0,0.0,234246
155,0.0,0.0,0.0,0.0,54093.8,0.0,0.0,0.0,234247
156,0.0,0.0,0.0,0.0,54089.5,0.0,0.0,0.0,234248
157,0.0,0.0,0.0,0.0,54104.5,0.0,0.0,0.0,234249
158,0.0,0.0,0.0,0.0,54096.0,0.0,0.0,0.0,234249
159,0.0,0.0,0.0,0.0,54095.9,0.0,0.0,0.0,234250
160,0.0,0.0,0.0,0.0,54073.9,0.0,0.0,0.0,234251
161,0.0,0.0,0.0,0.0,54077.9,0.0,0.0,0.0,234252
162,0.0,0.0,0.0,0.0,54085.1,0.0,0.0,0.0,234253
163,0.0,0.0,0.0,0.0,54087.2,0.0,0.0,0.0,234253
164,0.0,0.0,0.0,0.0,54128.3,0.0,0.0,0.0,234254
165,0.0,0.0,0.0,0.0,54126.2,0.0,0.0,0.0,234255
166,0.0,0.0,0.0,0.0,54134.9,0.0,0.0,0.0,234255
167,0.0,0.0,0.0,0.0,54132.8,0.0,0.0,0.0,234256
168,0.0,0.0,0.0,0.0,54133.2,0.0,0.0,0.0,234257
169,0.0,0.0,0.0,0.0,54137.1,0.0,0.0,0.0,234258
170,0.0,0.0,0.0,0.0,54160.9,0.0,0.0,0.0,234259
171,0.0,0.0,0.0,0.0,54163.3,0.0,0.0,0.0,234259
172,0.0,0.0,0.0,0.0,54154.5,0.0,0.0,0.0,234300
